rank,anomaly_score,reason,timestamp,txid,src_ip,dst_ip,src_country,src_asn,src_asn_org,num_inputs,num_outputs,total_input_amount,total_output_amount,fee,ip_wallet_diversity,is_anomaly,anomaly_type
66,0.6275573123686581,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-22T02:57:06,b6ba81510f4145cfb360faaca680aa0ff070c9efd45d4dadba604d3faf09f4e5,215.121.30.73,104.149.85.76,US,749.0,United States Department of Defense (DoD),1,1,0.02106514,0.02105286,1.228e-05,58,0,none
67,0.6274612688209872,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); src_ip_freq=92 (above median 69, z=2.9)",2025-01-21T02:07:36,6181090ed31d49188a465926118590f5a972c84f6ae844cbbbfd1aae64db2575,19.139.58.31,141.249.68.194,US,Unknown,Unknown,3,3,0.20455187,0.20428723000000001,0.00026464,87,0,none
68,0.6269994642792548,"num_outputs=34 (above median 2, z=28.0); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-12T08:44:34,4b5fc331aece4d488db93e6e22f2f2f1f0a20dd1f8894d7c8d9c112c0e2da1fc,162.124.230.89,7.227.173.119,US,Unknown,Unknown,1,34,1.96726249,1.96529525,0.00196726,67,1,rapid_fan_out_layering
69,0.6268343927959982,"is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1); output_input_ratio=0.9997 (above median 0.9983, z=2.0)",2025-01-25T03:47:35,90b4426373ce4bffa755dc0c1d211014c327852348944667b219ec144e3d3871,11.54.185.61,208.67.222.222,US,749.0,United States Department of Defense (DoD),1,1,2.0,1.9994,0.0006,63,1,round_amount_offhours
70,0.6265948759263869,"num_outputs=25 (above median 2, z=20.1); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-15T13:53:52,632eb21cce7f4c3f9442d9888f7639ba14c1c27e51374ae39303a469a9401cc6,139.235.250.159,41.34.220.1,US,749.0,United States Department of Defense (DoD),1,25,1.42761532,1.42618768,0.00142762,79,1,rapid_fan_out_layering
71,0.6257653009615272,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); src_ip_freq=92 (above median 69, z=2.9)",2025-01-21T02:06:01,3b0af0d75c514c2690b28e2948faef369b7fd10888a140af9c8812c38fb5ac86,19.139.58.31,190.168.187.141,US,Unknown,Unknown,2,1,0.23025869,0.22978893,0.00046976,87,0,none
72,0.6250508663142482,"is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1); output_input_ratio=0.9997 (above median 0.9983, z=2.0)",2025-01-28T03:25:23,a317b94596704434bfb107acb44f7580913f48560fb948a8843ebba3c4997eb9,143.40.51.82,70.217.185.44,US,11003.0,The Procter and Gamble Company,1,1,2.0,1.9994,0.0006,60,1,round_amount_offhours
73,0.624821910622768,"src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1); total_input_amount=2.869 (above median 0.09975, z=2.5)",2025-01-18T13:46:55,a36b9de30ce0492ea47d3a5d8f8b5682636fbe0829744eecb732d49f620f9542,218.120.159.176,144.131.16.166,JP,17676.0,SoftBank Corp.,1,2,2.86856645,2.8671321699999996,0.00143428,73,1,peel_chain
74,0.6245006420171654,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4); num_inputs=3 (above median 1, z=1.7)",2025-01-17T11:01:47,0f379783b0c54f92959a01f528ef13eed84d57ba316d4445a76d5dc6366d1d76,51.45.47.23,32.204.14.22,FR,16509.0,"Amazon.com, Inc.",3,2,1.7757333499999999,1.77228817,0.00344518,59,0,none
75,0.6220945912333319,"src_ip_burst_count=2 (above median 1, z=4.7); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-06T00:22:35,f86c155737604d68b42b9790bcab795e5e47e22883be4c22b79986f64adc3a57,190.168.187.141,8.8.4.4,VE,Unknown,Unknown,3,3,0.28695715,0.28633044,0.00062671,72,0,none
76,0.6219317236462445,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-11T02:36:09,507991cb426644aab298f0bc622d282488bd31df750a4a8993665b41b39a3815,154.83.155.109,88.245.181.44,US,Unknown,Unknown,1,3,0.34855737,0.34834717,0.00021021,68,0,none
77,0.6213186933673889,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-21T11:37:10,83cc594b9308480cbd81288f8e168761521a4a9a25774f78ab580da8ac0c00f1,1.1.1.1,54.239.5.103,Unknown,13335.0,"Cloudflare, Inc.",3,2,0.79119233,0.78908579,0.00210654,68,0,none
78,0.6198702894363303,"num_outputs=33 (above median 2, z=27.2); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-29T23:38:01,9cda17e6d12143b4ac30202f2ddad4c7e19aa4a8054d477bac13a1162b15c3a2,195.214.247.17,120.184.159.215,FR,16347.0,ADISTA SAS,1,33,1.97992314,1.9779432700000001,0.00197992,62,1,rapid_fan_out_layering
79,0.6188909803257775,"src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4); total_input_amount=2.377 (above median 0.09975, z=2.0)",2025-01-23T15:59:48,a93b0a77f0254c7098ac5feaae1772b4b44f990fbf484be0ac606cbdaf634069,1.1.1.1,139.161.62.34,Unknown,13335.0,"Cloudflare, Inc.",1,3,2.37651693,2.37421226,0.00230467,68,0,none
80,0.618527860694692,"num_inputs=18 (above median 1, z=14.2); src_ip_burst_count=2 (above median 1, z=4.7); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-20T23:45:38,bd0c141714844e0fa3e5352aedeccc7b90cf723aa20d43daa65fe2a776147bb5,16.86.83.227,199.68.36.14,US,16509.0,"Amazon.com, Inc.",18,1,0.06849963,0.06843113,6.85e-05,75,1,fan_in_smurfing
81,0.6182362307266577,"num_outputs=15 (above median 2, z=11.4); src_ip_burst_count=2 (above median 1, z=4.7); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-03T11:08:43,5537a4c254c14064bca7cfc3bb00804cdd89021d5bf240c18ddb0a05f6a40f89,35.198.209.154,64.6.64.6,SG,396982.0,Google LLC,1,15,1.43091882,1.42948788,0.00143092,63,1,rapid_fan_out_layering
82,0.6181347246718476,"is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-01T03:36:40,6d13e97a66f64dcf8415c1f38850b64f60a787f1f9cd4d60b3476f204fc2cd3d,162.124.230.89,1.226.126.99,US,Unknown,Unknown,1,1,1.0,0.9997,0.0003,67,1,round_amount_offhours
83,0.6177854049955648,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-08T02:16:34,0189b910cfbf487fab028ec6796509474eb8388bb19744e389bfd5ae12298762,32.204.14.22,1.0.0.1,US,14618.0,"Amazon.com, Inc.",3,3,0.2191641,0.21851536,0.00064875,70,0,none
84,0.6171212447711726,"num_inputs=15 (above median 1, z=11.7); src_ip_burst_count=2 (above median 1, z=4.7); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-12T21:26:58,91bca96ff25c4c88a0d3fe8b5589fe6021cedf5c75f54be8a46000869d718772,54.239.5.103,90.194.54.190,DE,16509.0,"Amazon.com, Inc.",15,1,0.06598028,0.0659143,6.598e-05,74,1,fan_in_smurfing
85,0.6166883774715404,"src_ip_burst_count=4 (above median 1, z=14.2); is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-16T03:31:28,0410c39a9e8e4d8981245fada27a77ba2692519614c04afca6ba53526278dfe3,167.145.255.192,23.150.56.34,US,Unknown,Unknown,1,1,0.4625489,0.46208635,0.00046255,66,1,shared_ip_burst
86,0.6161369620290911,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); total_input_amount=2.226 (above median 0.09975, z=1.9)",2025-01-02T02:56:37,0f4b5912e087464ebbb2f54cd1909def34ee108a68434d3d939361e6547e0451,42.76.115.245,1.0.0.1,TW,17421.0,Mobile Business Group,1,3,2.2260057,2.22331484,0.00269086,69,0,none
87,0.6151798931612772,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-23T01:31:14,de81be00b6f24432a3442436630e2587bd1bb0a23630490d9a7690f4483e5cf4,227.76.191.174,20.70.71.243,Unknown,Unknown,Unknown,3,2,0.06051017,0.06039905,0.00011112,63,0,none
88,0.6149840663331912,"src_ip_burst_count=4 (above median 1, z=14.2); is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-16T03:31:34,a473795a22dc489784b75079476b187d57b4d0b70ab7463996488e2e2741edb5,167.145.255.192,23.150.56.34,US,Unknown,Unknown,1,1,0.39538983,0.39499444,0.00039539,66,1,shared_ip_burst
89,0.6143831199571848,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-08T03:49:30,a16dd2f070bc4ae49b9bd6432272fa8836c42dd1208e4e1290f740ee1e0c8379,1.0.0.1,58.22.187.41,Unknown,13335.0,"Cloudflare, Inc.",3,1,0.25749849,0.25732926,0.00016923,61,0,none
90,0.6139525155092498,"src_ip_burst_count=2 (above median 1, z=4.7); src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-01T12:18:58,4b1382c26c694a53b6f932a49a55eb2fe2b5208d3b5345fe811a7bbe4b4dc1b2,8.8.4.4,73.207.222.224,US,15169.0,Google LLC,1,1,1.45039473,1.44722344,0.00317129,73,0,none
91,0.6133219572551135,"src_ip_burst_count=4 (above median 1, z=14.2); is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-16T03:31:51,a3093be4d47a47e690789d552986104ac96e86ace6c943f0b81d4bf43ce4d2a1,167.145.255.192,23.150.56.34,US,Unknown,Unknown,1,1,0.38323307,0.38284984,0.00038323,66,1,shared_ip_burst
92,0.6123265446613587,"src_ip_burst_count=2 (above median 1, z=4.7); total_input_amount=3.883 (above median 0.09975, z=3.4); total_output_amount=3.88 (above median 0.09954, z=3.4)",2025-01-17T14:40:46,8f22f400d04c45bc9764d2e58ea26a33bd214e04b5ce472a8841f0709e7447dd,22.0.136.141,179.68.146.222,US,749.0,United States Department of Defense (DoD),2,2,3.88305493,3.88011836,0.00293657,60,0,none
93,0.6117865305040088,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-16T03:35:35,5cdec8fa730a479a8b862fd4a3c1eaf31b8ccf1531e343eabd13ff2ed7f40efd,51.147.129.235,23.150.56.34,GB,Unknown,Unknown,1,1,0.25862029,0.25836167,0.00025862,80,1,shared_ip_burst
94,0.6114985237238311,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-13T02:17:53,40e6288455184ab6a116e7975573b3f684776b594a1e4ea0af305cda0cb91037,229.233.18.21,51.45.47.23,Unknown,Unknown,Unknown,2,2,0.22044307,0.21991449,0.00052858,55,0,none
95,0.6109278900094901,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5)",2025-01-02T02:04:59,4a30bd75d9af45c192ce6108d3709ffa7c530f2800dd458381762161a4722ec7,237.64.120.101,117.123.129.23,Unknown,Unknown,Unknown,3,2,0.52038506,0.5193406899999999,0.00104437,66,0,none
96,0.6108611403254048,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-20T10:20:54,63210d5ee6cf4c2bbd24ff4ea04270e04f0171d4effc4db5b47bfe85c21e0793,231.209.49.33,104.149.85.76,Unknown,Unknown,Unknown,1,1,0.01610306,0.01608913,1.393e-05,68,0,none
97,0.610200074926933,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-02T03:29:42,da781b9cda3a47acbd32d6f80d84d7e7e2644f9f531947859ce50a4bcf153592,51.147.129.235,111.204.181.248,GB,Unknown,Unknown,1,1,0.16711106,0.16670385,0.00040721,80,0,none
98,0.6097155141683915,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-16T03:33:14,9090e86c2998467e8157876cee0929cfeae0a4d7369d4e458a5e8367b8e11320,51.147.129.235,23.150.56.34,GB,Unknown,Unknown,1,1,0.23760903,0.23737142,0.00023761,80,1,shared_ip_burst
99,0.6091415176146268,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-22T02:54:02,4213c8cb15eb4f2c9ee517e4bf4fad88671ab3920889497c9df06eab8a7abbb1,215.121.30.73,51.45.47.23,US,749.0,United States Department of Defense (DoD),2,2,0.06172427,0.06169198,3.229e-05,58,0,none
100,0.6089352333468393,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-28T08:21:26,4877f36fd09f40ac862d315566dbfe26eaf5bf3f9a0346bfa3c26ba8ed74a317,1.1.1.1,219.205.18.193,Unknown,13335.0,"Cloudflare, Inc.",3,1,0.06680526,0.06677133,3.393e-05,68,0,none
101,0.6088582009937118,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-10T03:26:27,68cf94a98059482baaafc94eba15db0b02a81446e41845afaebe8ebf79014db6,227.76.191.174,35.198.209.154,Unknown,Unknown,Unknown,1,1,0.03937459,0.03927636,9.823e-05,63,0,none
102,0.6087754039875566,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-30T02:12:36,f0c05d3cf1b2479996ae18c6702eb14d9d1da1860aa04d139f95cd86856d3485,62.215.218.142,1.0.0.1,KW,21050.0,Fast Communication Company Ltd,1,2,0.2163519,0.21591645,0.00043545,84,0,none
103,0.6085718776691662,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-22T01:45:47,5fd8dc23c29140f28d7875ec3d7b9fda1c3cc228373f4232ac916eca7a9e8565,8.8.4.4,1.1.1.1,US,15169.0,Google LLC,3,1,0.64405777,0.64252332,0.00153445,73,0,none
104,0.6065943962839063,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-22T02:46:17,9998403b94be414ba9b0f45205175795088b5617a48e4ee4af8971fd0095efd1,236.42.200.211,35.201.188.111,Unknown,Unknown,Unknown,1,2,0.02073842,0.0206841,5.432e-05,63,0,none
105,0.6062980294395943,"is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1); output_input_ratio=0.9997 (above median 0.9983, z=2.0)",2025-01-07T02:31:44,b81ffb49a11a43f4960cba8262d20d3d7f54eb21c2714bd298b31e873d844cdc,203.177.174.207,24.227.216.63,PH,132199.0,Globe Telecom Inc.,1,1,1.0,0.9997,0.0003,76,1,round_amount_offhours
106,0.6054614951854039,"primary_input_wallet_freq=1 (below median 13, z=-3.1); total_input_amount=3.296 (above median 0.09975, z=2.9); total_output_amount=3.294 (above median 0.09954, z=2.9)",2025-01-01T22:15:46,265664f145db428aa1cd67896aae4d371cebbb0403d7431a9b54e17aafd2bf0e,24.227.216.63,237.64.120.101,US,11427.0,Charter Communications Inc,1,2,3.2961396,3.29449153,0.00164807,71,1,peel_chain
107,0.6047600833636892,"is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4); output_input_ratio=0.9993 (above median 0.9983, z=1.5)",2025-01-05T03:37:36,6e6ff6259aa249f7b7ee5e93024acfe267ebd8177a5e44b99209d90146d8b374,20.70.71.243,154.83.155.109,AU,8075.0,Microsoft Corporation,2,1,0.99721179,0.99656079,0.000651,70,0,none
108,0.6043981897941555,"src_ip_burst_count=2 (above median 1, z=4.7); src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-28T08:17:48,d9c3056c217a4b0e9be9d634b35ea4301d211e9440f5474cb6e9e5ef71f3af8d,1.1.1.1,215.121.30.73,Unknown,13335.0,"Cloudflare, Inc.",2,1,0.73020032,0.7297907,0.00040962,68,0,none
109,0.6038588559425722,"is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4); primary_input_wallet_freq=22 (above median 13, z=2.3)",2025-01-26T02:15:35,e5099decc0094b689448fa54ce37087643dfe7887a1a4ccb81d454e7accd5655,8.8.4.4,147.25.6.198,US,15169.0,Google LLC,1,1,0.56395082,0.56355449,0.00039633,73,0,none
110,0.6038112951207844,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-05T02:14:34,f5ea47e3d3994ddaadc731247672cf8d1fc918bf2722485eb466e20d50c5fd9c,231.209.49.33,20.70.71.243,Unknown,Unknown,Unknown,1,1,0.02981192,0.02977435,3.757e-05,68,0,none
111,0.6033133080018357,"is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-26T03:56:29,c392e3a49886486891edf843b072cf95c0a6fb7bf36c4a7994552a8f85febc4c,144.179.80.62,20.70.71.243,NO,Unknown,Unknown,1,1,0.19236352,0.19190991,0.00045361,53,0,none
112,0.6030059046446185,"num_inputs=28 (above median 1, z=22.5); src_ip_burst_count=2 (above median 1, z=4.7); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-24T07:11:27,1b87ebba4b254e81b71a79a192ee64553d84d4cfbe9c4ca9a19026f023242351,161.180.194.15,42.76.115.245,US,16509.0,"Amazon.com, Inc.",28,1,0.15486266,0.1547078,0.00015486,69,1,fan_in_smurfing
113,0.6026802008227988,"is_offhours=1 (above median 0, z=3.5); src_country_freq=3650 (above median 596, z=1.9); output_input_ratio=0.997 (below median 0.9983, z=-1.7)",2025-01-30T02:53:16,00fdfae747344d7ab19906e62ce1d1cfe44c7e8001304b79b0bd662856e2cd47,22.217.38.136,167.145.255.192,US,749.0,United States Department of Defense (DoD),3,2,1.26100226,1.25727242,0.00372984,62,0,none
114,0.6023060653295178,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-13T01:17:13,9f71eec5f665466dbe2adf2fc073721ab6eaecbee78248129dd8f596c86fde0d,229.233.18.21,173.140.25.175,Unknown,Unknown,Unknown,3,3,0.38526426999999996,0.38437093,0.00089333,55,0,none
115,0.6014425266252259,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-02T03:27:40,da897846c00540d68fa16b640f2419c5753560aa24674de7b18a026ceddd3a92,51.147.129.235,231.209.49.33,GB,Unknown,Unknown,1,3,0.21166181,0.21154197,0.00011984,80,0,none
116,0.6014006675920276,"src_ip_burst_count=4 (above median 1, z=14.2); is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-16T03:31:00,d15b3182eb594014b589ba7e6182fba1757186a5d0834407a4da63568940db01,167.145.255.192,23.150.56.34,US,Unknown,Unknown,1,1,0.08416082,0.08407666,8.416e-05,66,1,shared_ip_burst
117,0.6007710493648197,"num_inputs=32 (above median 1, z=25.9); src_ip_burst_count=2 (above median 1, z=4.7); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-08T14:35:59,136b85ae05a14448bf55bf7f6ce93c86b3a74a38654646cebb99a7560dca80ff,139.161.62.34,35.198.209.154,US,1540.0,"Headquarters, USAISC",32,1,0.17242313,0.17225071,0.00017242,62,1,fan_in_smurfing
118,0.6002727817173333,"num_outputs=24 (above median 2, z=19.3); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-03T22:57:27,5b91ebbcc14c4a1888e19c5c2535f00d3237a92819f44db1afd05c6802370b2b,178.134.182.13,210.160.129.76,GE,35805.0,JSC Silknet,1,24,1.26023254,1.2589723,0.00126023,67,1,rapid_fan_out_layering
119,0.6000133330053669,"primary_input_wallet_freq=1 (below median 13, z=-3.1); total_input_amount=3.008 (above median 0.09975, z=2.6); total_output_amount=3.007 (above median 0.09954, z=2.6)",2025-01-18T14:01:55,c678cf92d229424c8e185f09237fc0f79389a6804fc04a1399a037cb4464009e,218.120.159.176,144.131.16.166,JP,17676.0,SoftBank Corp.,1,2,3.0080127,3.00650869,0.00150401,73,1,peel_chain
120,0.5993897536876999,"src_ip_burst_count=2 (above median 1, z=4.7); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-01T03:57:39,8e02de5c83fc401a8a1e9e13921de27d13911d73b85245889d6e145af90f8985,23.47.92.123,1.0.0.1,JP,16625.0,"Akamai Technologies, Inc.",3,3,0.22666865,0.22652479,0.00014385,67,0,none
121,0.599195362650001,"dst_is_hosting_asn=1 (above median 0, z=3.4); src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-28T04:20:53,df0d7d59a95b46d19828429823dbded503b95091e2f64c99b3f4138f6a96b5e8,8.8.4.4,51.45.47.23,US,15169.0,Google LLC,3,1,0.53253725,0.53119637,0.00134088,73,0,none
122,0.5991913036109675,"src_is_hosting_asn=1 (above median 0, z=3.4); num_inputs=3 (above median 1, z=1.7); src_ip_freq=81 (above median 69, z=1.5)",2025-01-21T15:52:53,2ab6076f0bb7490b9a8d7a1c47613ece9d43f2b2405d484e97779270c96c49c3,54.239.5.103,218.120.159.176,DE,16509.0,"Amazon.com, Inc.",3,1,1.5654055,1.56439312,0.00101238,74,0,none
123,0.5991531304011583,"src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4); output_input_ratio=0.9995 (above median 0.9983, z=1.7)",2025-01-19T04:29:12,4bee4343adb0432ab69b8fcef6eaa5ac30039c622a0e4fc384a5f3b301c55c78,1.0.0.1,77.207.172.114,Unknown,13335.0,"Cloudflare, Inc.",1,3,0.72191448,0.72154316,0.00037132,61,0,none
124,0.5988810543640047,"total_input_amount=6.949 (above median 0.09975, z=6.1); total_output_amount=6.943 (above median 0.09954, z=6.1); num_inputs=3 (above median 1, z=1.7)",2025-01-11T20:00:38,62f15ab1fdca4dcca11c956282571c5f37335d1d1a8c4e78bb575fabb4fba7fe,105.45.125.34,88.245.181.44,EG,37069.0,The Egyptian Company for Mobile Services (Mobinil),3,3,6.94918994,6.94300717,0.00618277,70,0,none
125,0.5988684684776908,"num_inputs=18 (above median 1, z=14.2); src_ip_burst_count=2 (above median 1, z=4.7); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-03T14:06:22,e9ac7db1d8d541f5b030d6c6b8537c96cc68cb0acff442a2ba90b56579d0a5c7,51.147.129.235,174.184.6.124,GB,Unknown,Unknown,18,1,0.11704084,0.1169238,0.00011704,80,1,fan_in_smurfing
126,0.5988116638408568,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-17T08:52:26,f7c827130b984603b0fa36868eb67e2105ef459ec46b40e0accb8304beadae45,229.233.18.21,161.180.194.15,Unknown,Unknown,Unknown,1,1,0.04298673,0.04288382,0.00010291,55,0,none
127,0.5985999387227221,"src_country_unknown=1 (above median 0, z=4.2); src_is_hosting_asn=1 (above median 0, z=3.4); output_input_ratio=0.9993 (above median 0.9983, z=1.4)",2025-01-12T16:42:16,c68f2fee5a9d47769da7aae247169ee33548590a43c74e99bc9d473e0a1e9b1a,1.0.0.1,84.135.191.53,Unknown,13335.0,"Cloudflare, Inc.",1,1,1.43450714,1.43351784,0.0009893,61,0,none
128,0.598482983801804,"is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4); src_country_freq=3650 (above median 596, z=1.9)",2025-01-09T03:02:16,53a35774e34a4a9f93b9afebdc0b0fcb79e3dc94668b4548aa991f941e1c5289,8.8.8.8,144.131.16.166,US,15169.0,Google LLC,3,2,1.5606555500000001,1.55780886,0.00284669,70,0,none
129,0.5978547205147735,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); dst_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-24T02:51:19,abb14dbf97274eafbd28e81b75d164cc13ef8cf267e241f7ac2d71094badd0fe,237.64.120.101,32.204.14.22,Unknown,Unknown,Unknown,1,3,0.01281726,0.01279107,2.619e-05,66,0,none
130,0.597396854782949,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); primary_input_wallet_freq=1 (below median 13, z=-3.1)",2025-01-06T03:21:22,1f114f8f4e8d4550a1b1b422b479066561e46090d6854282b9323bfd32060d6c,227.76.191.174,62.215.218.142,Unknown,Unknown,Unknown,1,1,0.1,0.09997,3e-05,63,1,round_amount_offhours
131,0.5970550898106519,"is_offhours=1 (above median 0, z=3.5); src_country_freq=3650 (above median 596, z=1.9); src_ip_freq=55 (below median 69, z=-1.7)",2025-01-21T03:37:32,ff5ad906e6104d7d909ba723789e3fe2e8314d55e52043a1b040e3b66e0eefbd,134.199.83.139,142.62.225.20,US,20473.0,"The Constant Company, LLC",2,1,1.27969861,1.27611391,0.0035847,53,0,none
132,0.5968537947462323,"src_country_unknown=1 (above median 0, z=4.2); is_offhours=1 (above median 0, z=3.5); src_is_hosting_asn=1 (above median 0, z=3.4)",2025-01-29T02:13:53,dd16f7d9ae574444b93f6568a5e7250039b925f77ff54ff1b3bcff899cd01277,1.0.0.1,143.40.51.82,Unknown,13335.0,"Cloudflare, Inc.",2,1,0.28842824,0.28781253,0.00061571,61,0,none
133,0.5953479878913556,"src_country_unknown=1 (above median 0, z=4.2); dst_is_hosting_asn=1 (above median 0, z=3.4); src_asn_freq=1857 (above median 124, z=2.6)",2025-01-16T18:14:50,e0c7f962f23040b292756957cec938e7e474058706a1496c9adc36dd6c2d2804,228.163.149.246,16.86.83.227,Unknown,Unknown,Unknown,3,3,0.08557997,0.08553506999999999,4.491e-05,67,0,none
